,blood_mac_1,blood_mac_2,blood_mac_3,sm_mac_1,sm_mac_2,sm_mac_3
Pcbp1,258.108173989731,298.890650117008,287.594574369648,236.693344535492,249.120544685611,251.22125247931
1600020E01Rik,5.65245227494769,6.00616508597583,5.33674256031714,5.91022997159453,5.1638241909468,6.93339103686081
Asprv1,1.04447487689251,0.559580598072282,0.124110292100399,1.1365826868451,1.32492857530872,0.415173115979689
Mxd1,136.97980811952,139.708622652046,142.168339601007,107.407063906862,123.626027834575,112.055224002918
Snrnp27,10.2297098236825,9.5128701672288,11.2319814350861,14.2072835855638,10.8032637679019,10.3793278994922
Gmcl1,18.4319095922207,15.7055621192287,15.6689243776753,15.5143536754356,15.1857198246922,16.5238900159916
Anxa4,61.7468971339394,66.5154804241919,65.2199584987594,50.1801256242112,50.5171484995914,52.2287779902449
2610306M01Rik,2.21182915106649,0.858023583710833,0.930827190752989,1.87536143329442,0.611505496296332,0.664276985567503
Aak1,72.6831634919904,69.9102693858305,92.4621676147969,92.8019763809025,83.9800881580296,73.8177800211888
Nfu1,33.0238380193955,28.5013051284816,28.2040638798156,25.9709143944106,27.1100770024707,23.0421079368728
Gfpt1,100.945424866729,74.3869141704087,101.522218938126,78.0264014519162,69.4398463572057,73.8592973327867
D6Ertd527e,0.122879397281472,0.484969851662645,0.341303303276096,0.625120477764806,0.135890110288074,0.456690427577658
Antxr1,6.48188820659762,1.23107731575902,2.63734370713347,5.62608429988325,1.15506593744863,1.99283095670251
Bmp10,0.614396986407358,0,0,1.47755749289863,0.373697803292203,0.871863543557348
Arhgap25,106.690036689638,119.936774853492,110.240966958179,96.5526992474913,111.939478349801,105.163350277655
Prokr1,0.522237438446254,0.223832239228913,0.434386022351395,1.25024095552961,0.203835165432111,0.747311608763441
Aplf,52.9303003789938,48.6462066590837,35.8989019900403,345.634795069595,72.4634013111153,123.555519315556
Ccdc48,2.51902764427017,3.1709567224096,1.86165438150598,4.09169767264236,4.11067583621423,2.86469450025986
Gp9,4.33149875417187,6.64035643045775,6.98120393064742,5.91022997159453,10.2597033267496,6.06152749330347
Rab43,460.736300106877,558.312215383318,490.049488358424,465.316951994384,645.036381009914,521.748054851676
Isy1,35.6657450609471,46.4078842667946,38.4121354050733,36.2569877103587,33.2930770205781,33.379918524767
Cnbp,316.967405287556,278.484610973972,265.906300825104,274.371060604407,272.289808489728,278.41509157598
Copg,99.5937514966327,104.641571839517,98.9779579500678,90.1878362011588,93.5263684057668,90.1756007907885
8430410A17Rik,14.0696909887285,14.1387364446263,14.6760420408721,17.2760568400455,17.3599615893014,20.2189307482109
H1fx,0.337918342524047,0.820718210506014,0.589523887476893,1.02292441816059,0.135890110288074,0.166069246391876
Gm5577,1.04447487689251,1.00724507653011,0.930827190752989,4.83047641909168,1.46081868559679,1.61917515232079
Rab7,122.265000295064,121.317073662071,128.578262616013,124.626291612565,120.398637715233,112.968604858073
Rpn1,138.055002845733,155.749933130119,120.480066056462,115.704117520831,121.247950904534,106.325835002398
Gata2,15.2677651122228,6.64035643045775,4.53002566166455,27.9599340963895,3.39725275720184,5.85394093531362
Eefsec,21.8725327161019,20.0329854109877,23.5499279260506,19.4355639450512,19.5002308263386,17.5618228059409
Ruvbl1,24.3915603603721,23.7262173582648,24.4497275437785,23.8114072894049,22.150087976956,21.0077596685723
Sec61a1,163.982555672124,156.719872833444,142.416560185207,127.808723135732,146.59145647326,134.516089577419
Mgll,30.1976118819216,19.1376564540721,16.7238618605287,42.3945342193223,9.9539505786014,7.30704684124253
Abtb1,23.5621244287222,30.2546576691081,31.1516833172,29.5511498579726,23.5429616074088,31.3455702564666
Podxl2,0.983035178251772,0.149221492819275,0.434386022351395,1.47755749289863,0.475615386008258,0.415173115979689
Mcm2,43.007789048515,69.9848801322401,43.9350434035411,33.870164067984,70.5609397670823,34.5424032495102
Tpra1,30.812008868329,27.6805869179756,26.5285749364602,31.426511291267,25.3435055687258,27.4844602778554
4933427D06Rik,0.153599246601839,0.223832239228913,0.217193011175697,3.01194412013952,0.169862637860092,1.07945010154719
Plxna1,82.5749549731489,60.0243454865535,70.3395080479009,68.1381320763638,38.9325165975331,53.474297338184
Chchd6,8.60155780970301,6.49113493763847,5.42982527939244,4.88730555343393,3.02355495390964,3.19683299304361
Txnrd3,11.1205854539732,7.57299076057822,8.6566928740028,8.35388274831149,6.52272529382754,7.3485641528405
Vmn1r43,0,0,0,0.738778746449316,0.237807693004129,0.664276985567503
Vmn1r45,0.184319095922207,0,0,3.80755200093109,0.815340661728443,1.57765784072282
BC048671,0.0307198493203679,0.0373053732048188,0.0620551460501993,0.56829134342255,0.339725275720184,0.0415173115979689
Uroc1,26.4805101141571,17.1604716742167,18.7096265341351,16.1963032875427,6.6246428765436,3.0722810582497
Zxdc,20.6437387432872,22.0847809372527,26.4044646443598,26.4255474691486,24.7659726000014,27.4014256546595
Ccdc37,0.767996233009197,0.522275224867463,0.86877204470279,1.53438662724089,0.373697803292203,0.332138492783752
Klf15,17.5717538112504,11.2662227078553,9.15313404240439,8.35388274831149,3.8728681432101,3.19683299304361
Aldh1l1,121.619883459336,92.6665470407699,105.74196886954,51.8281705201366,30.7111649251047,28.5223930678047
Slc41a3,19.8143028116373,21.3386734731564,19.919701882114,22.5611663338753,20.9270769843634,20.8001731105824
Iqsec1,87.3058117684855,94.6437318206253,99.5364542645196,113.885585221879,98.5203299588535,105.370936835645
