order_0,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12
70839,14677,18706,15251,15275,29858,69080,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,14634,15245,16147,cpd:C00925,gl:G13034,gl:G13035,gl:G13036,gl:G13037,gl:G13038
70839,14677,104110,18747,14634,15245,16147,cpd:C00925,gl:G13034,gl:G13035,gl:G13036,gl:G13037,NA
70839,14677,104110,18747,14634,15245,16147,cpd:C00925,gl:G13034,gl:G13035,gl:G13036,NA,NA
70839,14677,104110,18747,14634,15245,16147,cpd:C00925,gl:G13034,gl:G13035,NA,NA,NA
70839,14677,104110,18747,14634,15245,16147,cpd:C00925,gl:G13034,NA,NA,NA,NA
70839,14677,104110,18747,14634,15245,16147,cpd:C00925,NA,NA,NA,NA,NA
70839,14677,26413,18033,12505,gl:G10505,NA,NA,NA,NA,NA,NA,NA
70839,14677,26413,18033,12505,gl:G10505,gl:G00526,NA,NA,NA,NA,NA,NA
70839,14677,18706,56717,14245,116939,NA,NA,NA,NA,NA,NA,NA
70839,14677,18706,56717,14245,15450,NA,NA,NA,NA,NA,NA,NA
70839,14677,18706,56717,14245,16891,NA,NA,NA,NA,NA,NA,NA
70839,14677,18706,56717,14245,18946,NA,NA,NA,NA,NA,NA,NA
70839,14677,18706,56717,14245,18947,NA,NA,NA,NA,NA,NA,NA
70839,14677,18706,56717,14245,67717,NA,NA,NA,NA,NA,NA,NA
70839,14677,18706,56717,14245,69060,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,13106,11522,13350,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,212862,19012,67800,NA,NA,NA,NA,NA,NA,NA
70839,14677,18706,56717,14245,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,212862,19012,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18706,56717,64898,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18706,56717,64899,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,212862,67916,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18706,56717,14245,233549,NA,NA,NA,NA,NA,NA,NA
70839,14677,18706,56717,14245,68393,NA,NA,NA,NA,NA,NA,NA
70839,14677,18795,104418,67216,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18795,104418,218121,14732,NA,NA,NA,NA,NA,NA,NA
70839,14677,18706,56717,19016,14625,NA,NA,NA,NA,NA,NA,NA
70839,14677,18706,56717,19016,14626,NA,NA,NA,NA,NA,NA,NA
70839,14677,18706,56717,19016,14933,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,16956,NA,NA,NA,NA,NA,NA,NA
70839,14677,18795,69718,NA,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18795,212111,NA,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18795,17330,217837,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18795,170835,16329,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18795,114663,NA,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18795,69718,269437,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18795,69718,269615,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18795,69718,75678,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18795,240752,NA,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18706,16331,NA,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,99010,27388,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,99010,19210,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,99010,NA,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18706,12660,NA,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,225845,NA,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,211429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,26413,53357,NA,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18795,110524,NA,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18795,217480,NA,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18795,380921,NA,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18795,104418,218121,102247,14571,NA,NA,NA,NA,NA,NA
70839,14677,18706,18805,16816,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,225845,26394,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,212862,19012,22239,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,100066,71519,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,19225,NA,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,19224,96979,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,19224,21391,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,19225,cpd:C00584,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,11430,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,80911,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,212862,19012,11886,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,212862,19012,54447,NA,NA,NA,NA,NA,NA,NA
70839,14677,18127,cpd:C00533,cpd:C16845,20597,67260,NA,NA,NA,NA,NA,NA
70839,14677,26413,20698,241447,433323,20598,NA,NA,NA,NA,NA,NA
70839,14677,26413,20698,241447,433323,58994,NA,NA,NA,NA,NA,NA
70839,14677,18783,212862,19012,70750,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,212862,19012,22239,53897,NA,NA,NA,NA,NA,NA
70839,14677,18706,15251,15275,319625,11605,18010,NA,NA,NA,NA,NA
70839,14677,18706,15251,15275,319625,11605,23956,NA,NA,NA,NA,NA
70839,14677,18706,15251,15275,319625,11605,241159,NA,NA,NA,NA,NA
70839,14677,18706,15251,15275,319625,11605,50877,NA,NA,NA,NA,NA
70839,14677,18783,212862,19012,14466,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,212862,19012,230101,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,212862,19012,22234,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,212862,19012,171168,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,212862,19012,230379,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,212862,19012,14420,NA,NA,NA,NA,NA,NA,NA
70839,14677,18783,212862,19012,11886,208449,NA,NA,NA,NA,NA,NA
70839,14677,18783,212862,19012,11886,74442,NA,NA,NA,NA,NA,NA
70839,14677,18706,15251,15275,226413,53418,54613,NA,NA,NA,NA,NA
70839,14677,18706,15251,15275,226413,53418,53625,NA,NA,NA,NA,NA
70839,14677,18706,15251,15275,226413,53418,72297,NA,NA,NA,NA,NA
70839,14677,18706,15251,15275,226413,53418,231727,NA,NA,NA,NA,NA
70839,14677,18706,15251,15275,226413,53418,14594,NA,NA,NA,NA,NA
70839,14677,18706,15251,15275,226413,53418,102637973,NA,NA,NA,NA,NA
70839,14677,18706,15251,15275,226413,53418,108105,NA,NA,NA,NA,NA
70839,14677,18706,15251,15275,226413,14595,20441,NA,NA,NA,NA,NA
70839,14677,18706,15251,15275,319625,11605,26879,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,11430,60525,74156,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,11430,52665,NA,NA,NA,NA,NA,NA
70839,14677,104110,18747,19013,11430,380660,NA,NA,NA,NA,NA,NA
70839,14677,104110,12495,21915,22171,17768,NA,NA,NA,NA,NA,NA
70839,14677,104110,12495,21915,22171,665563,NA,NA,NA,NA,NA,NA
70839,14677,104110,12495,21915,22171,13361,NA,NA,NA,NA,NA,NA
70839,14677,104110,12495,21915,22171,17769,NA,NA,NA,NA,NA,NA
70839,14677,104110,12495,21915,22171,108156,NA,NA,NA,NA,NA,NA
70839,14677,104110,12495,21915,22171,17768,100039707,NA,NA,NA,NA,NA
70839,14677,104110,12495,21915,22171,17768,107885,NA,NA,NA,NA,NA
70839,14677,104110,18746,18597,13382,108037,69606,NA,NA,NA,NA,NA
70839,14677,104110,12495,21915,22171,17768,270685,NA,NA,NA,NA,NA
70839,14677,104110,18573,103850,67993,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18605,225994,NA,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18605,59027,50721,NA,NA,NA,NA,NA,NA,NA
70839,14677,104110,18605,59027,64384,NA,NA,NA,NA,NA,NA,NA
