geneid_symbol,pvn_A14_log2FC,pvn_L14_log2FC,pvn_A3_log2FC,pvn_L3_log2FC,PVN_14A1,PVN_14A2,PVN_14A3,PVN_14L1,PVN_14L3_b1,PVN_14L4,PVN_3A1_b1,PVN_3A2,PVN_3A3_b1,PVN_3L1_b1,PVN_3L2_b1,PVN_3L3,PVN_naive1,PVN_naive2,PVN_naive3
Limk2,-0.831865165248949,-0.0810843233525579,-0.0626844110090952,-0.088194168976886,20.552699,30.565303,20.447874,34.584095,96.39631,21.231493,35.028,20.776511,18.092442,34.414078,30.419825,17.418711,36.583498,17.531022,46.23304
Patz1,-1.15874104189776,-0.492505317275746,-1.46103172142454,-0.229629839228832,29.52021,44.348588,39.754387,46.846417,47.45989,34.435685,23.93982,45.2584,37.994372,56.209508,39.193044,36.563379,65.907563,31.47118,11.403357
Eif4enif1,1.72496290097085,1.61301230693596,0.87717793354457,2.21091890363818,37.583432,23.450223,51.508896,34.777307,140.639776,48.33605,20.882752,39.604642,56.801413,52.636108,50.427776,58.322258,11.369225,46.534415,79.84202
Trim11,-0.982298329895201,-0.837160947904311,-0.395062256362359,-0.0909470624461087,25.511208,1.817284,30.434191,28.211211,29.768737,25.69058,38.327165,46.266356,63.122057,47.321063,42.770427,51.873119,50.400203,33.270818,27.575722
Ogdh,-0.405235756535394,-0.400189206201287,-0.528305688423585,-0.14319678796975,60.923586,155.410076,49.56264,61.13707,60.005423,46.982417,55.941965,59.413019,81.674368,73.057877,88.865,61.900453,80.681428,65.018551,51.58146
Drg1,-0.105640607432312,-0.460402826672679,-0.0893695798617542,0.769983300454776,44.123659,35.8029,52.060435,34.504636,50.319254,22.601212,44.624112,66.435603,80.371235,80.958151,41.179945,40.464265,47.475824,41.604469,76.220167
Rtn4,-0.281333382213861,-0.39435613294516,-0.468346788375304,-0.304211772163221,216.945272,220.212929,210.242467,200.598163,236.60167,136.784409,190.569566,232.68319,203.374183,213.532069,272.069166,248.653348,263.657407,230.827342,166.32138
Mtif2,-0.891894361896611,-1.0924621010944,0.323038191345887,-0.388050242882203,14.7756,9.408837,11.722236,12.857846,31.354524,7.117203,34.29859,23.758556,29.612891,20.951606,19.479448,36.395311,27.417767,22.542554,35.965756
Rps27a,0.726513581358654,0.0214938873018335,0.348176958682984,0.213762067872334,628.194981,569.522584,564.304822,385.356232,520.721853,270.056306,483.285528,443.420007,479.140161,440.292083,485.785219,371.109405,379.657586,548.826986,564.361349
Cfap36,-0.625164672716808,-0.868285049896777,-Inf,1.13993152795524,4.864502,5.337457,7.048825,4.110095,18.551513,8.286352,0,14.947106,6.274063,16.53428,9.083401,14.563049,7.502944,23.001249,8.05666
Ppp4r3b,-0.227906925123004,-0.612244578067022,0.680459313368098,0.140331499550624,27.886087,31.980524,33.177236,21.364386,65.529837,39.110394,52.339921,32.215008,37.596761,35.994686,35.424648,26.838649,32.658362,33.832699,29.049443
Pnpt1,-1.09896123118941,-1.20941836779757,-0.188197003135191,-0.710565874169617,8.107971,36.429786,8.288167,7.510369,8.754272,9.015955,15.243319,10.935482,13.674532,10.612821,28.511912,12.010631,17.367307,14.293962,7.20684
Pold2,-1.46596041625262,-2.59211560144907,-2.06013541407515,-1.14307991534623,18.921659,16.479417,25.200801,8.668675,31.720165,13.966061,12.534145,15.585799,51.666305,23.667693,17.660413,36.448035,52.270574,10.602293,2.330359
Zkscan17,0.353787553767246,0.42087882257719,0.139810722224115,0.787365746450113,34.597836,15.509722,21.895473,36.244776,32.550659,16.608875,29.82878,28.689671,27.729247,46.727116,30.440735,32.302342,27.073741,32.619414,54.637776
Polm,-1.02543110489638,-0.308068020016662,0.391489129893211,-0.794145414079991,17.639557,74.716919,28.757553,29.002503,55.927849,21.178029,47.100245,39.630921,44.012861,20.706734,44.097446,17.928534,35.90651,20.381046,28.650738
Pgam2,-4.14713462172842,-0.730705505023895,-0.901569196230514,-1.59638806084883,0.582638,0,5.265042,6.220803,0,3.431732,5.526006,7.088612,7.365242,3.413894,5.863431,20.578126,10.323114,8.371276,10.43857
Dbnl,0.119382902668067,0.505137006244558,0.543114506096561,0.0614012694551361,83.51567,120.62921,102.412249,109.116776,124.009021,64.594832,112.027306,130.051544,120.017659,80.225745,106.597158,97.904399,76.882967,96.231785,71.358739
Mrps24,-1.36710489996172,-1.91195622561219,-0.521884354928742,-1.17927420189098,37.085301,0,43.73445,25.420566,29.247721,56.718258,66.625203,44.315104,47.795549,42.242001,15.631318,54.338861,95.662426,26.04889,33.248449
Ccdc117,-0.0547292830812312,0.0696460497916066,-0.0477889591163512,-0.00588341434637743,33.748728,66.046326,38.725422,36.787317,18.256795,21.065115,33.911473,22.726663,34.64716,34.910935,33.755156,25.201968,35.053595,31.546737,31.723553
Dynll2,-0.203232971538722,-0.313925019006625,-0.0835316872710959,0.142887137919223,57.960737,117.024941,69.024028,53.679971,46.149407,55.557471,62.974913,50.432336,75.306448,73.676067,64.33117,66.151173,66.72877,72.024388,52.816107
Xbp1,0.281739852082243,-0.100688137231272,0.328065025321855,0.247433735605033,264.328769,157.528038,278.023413,202.778608,241.059729,148.969414,272.954149,223.922271,325.310247,258.117389,225.988163,245.731481,217.436419,257.228675,187.12435
Supt4a,-0.624120597454938,-0.475756243788285,-0.24911941817155,-0.359756427349852,74.014208,114.201691,87.064854,82.030851,108.436258,43.586948,95.984631,95.713161,69.80962,88.898952,75.127492,101.320302,114.075956,100.034698,77.227804
Septin4,0.115630134669075,0.332100300692777,-0.968180522496987,-0.456719550092839,9.593018,0,4.195042,11.146006,15.049356,12.007352,4.525804,6.007146,4.129211,6.451502,3.335422,7.181718,8.854155,5.582872,3.487196
2810021J22Rik,-1.24644328800104,2.00499783817995,0.943753082261825,1.02191239467778,1.742242,0,4.926934,16.591658,2.544789,6.185076,7.951028,4.68663,8.095866,8.393664,9.436459,8.552389,4.13357,4.756572,13.497198
Ska2,-2.02179097070551,-0.770642266310883,-1.96353236514577,-1.34016919515579,1.19134,0,4.1549,2.835757,7.610261,0.797647,1.240433,4.435502,1.559884,1.91084,1.494694,0.329278,4.837884,2.104395,4.17133
Smg8,-1.462599689021,-1.62640973208401,-1.42350509934521,-1.49451628168194,12.320304,6.195758,13.102231,10.997898,9.513342,7.877167,12.658728,18.418477,18.073621,12.050736,14.449845,14.168006,33.955318,14.677044,5.602846
Rnf187,-0.435904265959588,-0.346425402867776,-0.267023932020407,-0.31569269647338,70.123242,93.598531,69.411704,74.610132,74.111294,38.603307,78.831544,76.167191,71.019952,76.216548,73.069365,78.643829,94.859809,76.222885,40.508029
Tubd1,-0.595502727647544,-1.682430021583,-Inf,-2.2069468216407,5.740919,0,1.955381,2.702612,6.919722,4.710817,0,4.712823,3.037976,1.878834,4.613903,3.890844,8.674523,6.818204,3.532297
Mrpl22,-0.221281148692469,0.185867090869064,0.594067169320034,0.494584095878912,12.114803,0,17.927512,16.06498,24.237222,18.772232,21.318697,20.283158,20.956939,19.898176,37.316591,14.667506,14.123054,24.828143,22.890003
Cnot8,-0.809471790759371,-0.164252392605268,-0.0929731729007989,0.0771765593107461,55.399298,40.574102,92.903806,86.643234,103.994101,44.796043,91.031529,100.886101,84.208218,102.426424,104.391136,108.939901,97.091129,89.339618,53.792029
Rps6kb1,-0.717008067993504,0.543698592719428,0.348549216370181,-0.0766959526198992,15.587127,39.440796,20.111119,37.348795,16.955718,11.295452,32.623517,46.348335,10.729687,24.29513,27.359321,24.330335,25.621645,16.637526,53.087075
